"Var1"	"Var2"	"weight"
"212"	"ph_672"	"AACY020281370"	0.915281721959203
"213"	"ph_83"	"AACY020281370"	0.885159497637487
"214"	"ph_87"	"AACY020281370"	0.905959416582881
"215"	"ph_88"	"AACY020281370"	0.903031469972643
"216"	"ph_91"	"AACY020281370"	0.883217176157568
"217"	"ph_1119"	"AACY020283857"	0.869742912459729
"218"	"ph_11227"	"AACY020283857"	0.809782071309485
"219"	"ph_1364"	"AACY020283857"	0.81177480048249
"220"	"ph_1927"	"AACY020283857"	0.807165307734952
"221"	"ph_2813"	"AACY020283857"	0.924069591841698
"222"	"ph_3239"	"AACY020283857"	0.862091893618432
"223"	"ph_3267"	"AACY020283857"	0.901794061348099
"224"	"ph_3593"	"AACY020283857"	0.806811458646123
"225"	"ph_6616"	"AACY020283857"	0.816856377928715
"226"	"ph_10377"	"AACY020288370"	0.934849946826533
"227"	"ph_10798"	"AACY020288370"	0.816083856494804
"228"	"ph_10931"	"AACY020288370"	0.836376608435001
"229"	"ph_11135"	"AACY020288370"	0.850219735625106
"230"	"ph_11307"	"AACY020288370"	0.853095559722036
"231"	"ph_1149"	"AACY020288370"	0.850067018284713
"232"	"ph_1150"	"AACY020288370"	0.907547207524063
"233"	"ph_12630"	"AACY020288370"	0.89978762489303
"234"	"ph_13413"	"AACY020288370"	0.801735812377419
"235"	"ph_1347"	"AACY020288370"	0.85318050105689
"236"	"ph_1388"	"AACY020288370"	0.845003161606714
"237"	"ph_1522"	"AACY020288370"	0.855396158642536
"238"	"ph_15307"	"AACY020288370"	0.936814993988676
"239"	"ph_16266"	"AACY020288370"	0.825153280874365
"240"	"ph_1641"	"AACY020288370"	0.84050430966297
"241"	"ph_1837"	"AACY020288370"	0.815175191143274
"242"	"ph_2064"	"AACY020288370"	0.825038713338993
"243"	"ph_2323"	"AACY020288370"	0.94731168710363
"244"	"ph_2624"	"AACY020288370"	0.80978568553268
"245"	"ph_3762"	"AACY020288370"	0.897844842536563
"246"	"ph_5861"	"AACY020288370"	0.894452297080422
"247"	"ph_5983"	"AACY020288370"	0.821694843308483
"248"	"ph_627"	"AACY020288370"	0.841405999812153
"249"	"ph_7172"	"AACY020288370"	0.897284742526127
"250"	"ph_747"	"AACY020288370"	0.839830973570319
"251"	"ph_893"	"AACY020288370"	0.926442522607477
"252"	"ph_946"	"AACY020288370"	0.84401478238145
"253"	"ph_947"	"AACY020288370"	0.845563231235036
"254"	"ph_2753"	"AACY020324837"	0.800146455908905
"255"	"ph_8555"	"AACY020324837"	0.857385233215961
"256"	"ph_11009"	"AACY020393406"	0.959773624452498
"257"	"ph_1146"	"AACY020393406"	0.850641765782925
"258"	"ph_1237"	"AACY020393406"	0.936320202342932
"259"	"ph_1312"	"AACY020393406"	0.926002486593161
"260"	"ph_13192"	"AACY020393406"	0.966124093413772
"261"	"ph_1374"	"AACY020393406"	0.943828209603707
"262"	"ph_14587"	"AACY020393406"	0.973872776636317
"263"	"ph_1469"	"AACY020393406"	0.82829081212857
"264"	"ph_14800"	"AACY020393406"	0.873954540690409
"265"	"ph_1561"	"AACY020393406"	0.83302348818565
"266"	"ph_1594"	"AACY020393406"	0.935647444741997
